Customer_ID|Name|Email|Phone|Address|City_ID|Age|Gender|Income|Customer_Segment
10030|Megan Hutchinson|Janet22@gmail.com|8363339559|5124 Cummings Hill|41438|58|Female|Medium|Regular
10073|Paige Parker|Philip61@gmail.com|5503890313|3635 Tyler Well Suite 692|75593|19|Female|Medium|New
10129|Justin Burns|Michele50@gmail.com|1017269741|1995 Samantha Ranch|88498|19|Male|Medium|Regular
10208|Daniel Carlson|Justin70@gmail.com|4177720324|472 Clark Prairie Apt. 767|972|55|Female|High|Regular
10221|Gregory Byrd|Michael20@gmail.com|2515670827|9711 Clark Knoll|25842|20|Male|Medium|Premium
10323|Tim Smith|Kenneth1@gmail.com|7336781948|56780 Nicholas Parks Suite 618|60827|46|Female|High|Premium
10331|Breanna Rios|Christopher74@gmail.com|9546756667|56411 Davis Oval|61536|34|Male|Low|New
10332|Colleen Pacheco|Chelsea46@gmail.com|8906893599|62497 James Plains Suite 110|15439|36|Female|Medium|New
10342|Anthony Banks|Danielle86@gmail.com|1310508928|1236 Rebecca Tunnel|88498|24|Male|Medium|Regular
10398|Marvin Carter|Katie75@gmail.com|4619835835|246 Washington Village|14281|35|Female|Low|New
10471|Christopher Martinez|Brittany97@gmail.com|2758279289|64463 Moss Stream|77764|24|Male|Low|Regular
10489|Kim Henderson|Anthony34@gmail.com|5326046062|58442 Ryan Lodge|93974|22|Female|High|Regular
10496|Erica Mills|John86@gmail.com|5265359256|0634 Taylor Ridges|33106|46|Male|Medium|Premium
10528|Connor Davis|Dana30@gmail.com|1386157812|0976 Tracie Hill Apt. 383|43331|50|Male|Medium|Regular
10621|Bonnie Williams|Daniel35@gmail.com|4086813568|803 Michelle Trail Apt. 396|64961|26|Male|Low|Premium
10804|Jenny Edwards|Lynn17@gmail.com|4203606518|09314 Jenna Burgs|64395|33|Female|High|Regular
10928|Jamie Stevens|Barbara61@gmail.com|2390457612|8619 Mata Plain Apt. 215|88498|19|Male|Medium|Regular
10955|Alicia Hill|Anthony87@gmail.com|8142519861|29523 Willie Road Suite 689|55508|34|Female|Medium|New
10977|Cindy Snyder|Mary22@gmail.com|9445099492|96567 Carol Islands|76909|22|Male|High|Regular
11156|Scott Jones|Jeffrey93@gmail.com|1927124286|5876 Rebecca Port|76909|37|Male|Medium|New
11158|Stephanie Monroe|Robert83@gmail.com|1666668612|9201 Smith Ways Apt. 998|72583|22|Male|Medium|Regular
11163|Scott Reid|Susan79@gmail.com|4991556974|82854 Alexandra Fort Suite 926|14281|23|Male|High|Regular
11278|Summer Lang|Chad25@gmail.com|2929625778|22654 Sullivan Mount|61536|34|Male|Low|Regular
11314|Amanda Martin|Gary29@gmail.com|5426929238|758 Thomas Grove|10534|53|Male|High|Regular
11376|Sandra Gray|Lynn79@gmail.com|1317902283|3953 Judy Rapids|85126|35|Female|Low|Regular
11407|Jaime Torres|Kristin41@gmail.com|6549689828|01347 Gibson Ville|62244|46|Male|Medium|Premium
11566|Theodore Gomez|Michael19@gmail.com|1542227747|4658 Bradley Squares Suite 602|75593|19|Male|Medium|New
11648|Brad Horton|Amanda74@gmail.com|1853315597|45908 Theresa Village|13761|33|Male|Medium|Regular
11770|James Smith|Bryan100@gmail.com|3048995048|90416 Michael Trafficway|61536|34|Female|Medium|Regular
11775|Alexander Davis|Marissa21@gmail.com|4681947862|464 Cherry Haven Suite 348|14281|23|Female|Medium|New
