Customer_ID|Name|Email|Phone|Address|City_ID|Age|Gender|Income|Customer_Segment
10012|Alyssa Mcconnell|David58@gmail.com|8129098871|1359 Douglas Wells|2696|23|Female|High|Regular
10036|Jessica Johnson|Kelly82@gmail.com|7416270146|8630 Kelly Ports|72583|26|Female|Medium|Regular
10146|Lonnie Tucker|John58@gmail.com|3965555536|048 Phillips Walks Apt. 299|93974|22|Male|Low|Regular
10152|Brenda Brown|Donald24@gmail.com|5156478076|987 Li Island Suite 647|13761|22|Male|Medium|Regular
10188|Samantha Carter DDS|Kenneth70@gmail.com|4962466013|266 Robert Harbor Apt. 458|91336|26|Male|High|Regular
10226|Robert Martin|Erin94@gmail.com|8629724298|7870 Christina Path|58283|26|Male|Medium|Regular
10275|Jeff Schneider|Jared21@gmail.com|4584782709|47130 Horn Ports|56734|46|Female|Medium|New
10369|Jimmy Dean|Derek2@gmail.com|2144851178|59851 Patrick Garden Suite 046|88498|19|Male|Medium|Regular
10396|Michelle Garcia|Melissa11@gmail.com|9430429531|013 Catherine Mount Apt. 531|76592|22|Male|Low|Regular
10412|Anthony Rodriguez|Kristy13@gmail.com|3272143106|085 Jessica Mountains Apt. 054|10422|46|Male|High|Premium
10545|Timothy Barber|Jessica61@gmail.com|5046558619|106 Stacy Field Suite 310|88498|24|Female|Medium|Regular
10546|James Walker|Jerome60@gmail.com|3452901981|80882 Ashley Vista|58163|46|Female|Medium|New
10576|Alicia Matthews|Paula72@gmail.com|6164415289|9662 Brandt Ramp|21665|20|Female|Low|New
10692|Jessica Ortega|Sharon83@gmail.com|9330150310|80251 Hardin Mountain|46106|20|Female|Low|New
10700|Anthony Moore|Anna43@gmail.com|7208779101|1075 Perkins Glen Apt. 407|10422|54|Female|Low|New
10708|Nancy Williams MD|Seth46@gmail.com|7368104338|421 Brandy Roads|90928|46|Female|Medium|New
10781|Jerry Dudley|Robert42@gmail.com|5548813896|822 Jason Flats|75593|19|Male|Low|New
